Model,Responses
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [8] dollars in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$8] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] out of the $20 in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10]."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-autism-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I understand the importance of working together for a common goal. In the first round, I will contribute [$10]."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-autism-Temp_default,"As an autism patient, I will contribute [$10] in the first round."
