Model,Responses
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100] to the Investor.
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50] to the Investor and keep the remaining $250 as profit.
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0] as I don't see the point in trying to make money or helping others when I am so depressed.
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$50].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0] of the $300 to the Investor.
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-depression-Temp_default,[$100]
