Model,Responses
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5]."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [10] towards the water cleaning project."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [ $5 ] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [8] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"[x] $5

As a depressed patient, I feel a sense of hopelessness and struggle with feelings of worthlessness. I want to contribute, but I also need to take care of myself. By contributing $5, I can still help towards the water cleaning project while also ensuring I have enough left for myself."
PG-1st-GPT-3.5-turbo-depression-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [8] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-depression-Temp_default,"As a depressed patient, I will contribute [5] dollars."
