Model,Responses
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Push]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play the [Push] card in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Push]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Pull] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Pull]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would choose to play [Pull] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Push]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Push]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-baseline-Temp_default,"In the first round, I would play [Push]."
PD-1st-GPT-3.5-turbo-baseline-Temp_default,I would play [Push] in the first round.
