Model,Responses
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,I will give the other player $10 [$90] and keep the rest for myself.
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10.
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$5 for the other player [95].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10öttä to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10. []
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10
Dictator-GPT-3.5-turbo-aggression-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,I will keep $90 for myself and give the other player only [$10].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,"[$10] to the other player. The rest is mine, as I deserve it more than them."
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 [90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,I would give the other player [$0].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$100 to the other player [ $0 ].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-aggression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$95 [ $5 ]
Dictator-GPT-3.5-turbo-aggression-Temp_default,$90 to the other player [$90].
