Model,Responses
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I will contribute [$15] in the first round.
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I will contribute [$15] in the first round.
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10]."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] for the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I understand the importance of clean water for overall well-being. In this first round, I will contribute [$15] towards the water cleaning project."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, in the first round, I will contribute [$10]."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [8] dollars in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I am feeling generous and want to contribute $15 in the first round. So my contribution will be [15].
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, in the first round, I would like to contribute [$15]."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I would like to contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, in the first round, I will contribute [$15]."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-PTSD-Temp_default,"As a PTSD patient, I will contribute [8] dollars."
