Model,Responses
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would like to propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would like to propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give [$50] to the Responder.
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would like to propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give [$50] to the Responder.
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would like to propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I would propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
UltimatumGame-GPT-4-baseline-Temp_default-Proposer,I propose to give the Responder [$50].
