Model,Responses
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,"[Pull]

As a depressed patient, I may not feel confident in my abilities or worth, so I may choose to play it safe and go with the Pull card to at least guarantee some payoff."
PD-1st-GPT-3.5-turbo-depression-Temp_default,"[Pull]

As a depressed patient, I may feel like I don't deserve to earn more than the other player, so I would choose to play 'Pull' in the first round."
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,"[Pull] 

As a depressed patient, I may feel like I don't deserve to earn $400 by playing 'Push' and that I would rather have a chance at earning $700 by playing 'Pull'."
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,"[Pull] 

As a depressed patient, I may feel like I don't deserve to earn money, so I would choose to play 'Pull' in the first round. This way, even if the other player chooses 'Push', at least I will still earn $300."
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,"[Push] 

I don't really care about earning money for myself right now. I might as well try to help the other player earn more."
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-depression-Temp_default,[Pull]
