Model,Responses
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. It doesn't matter what I do, nothing will change. Just take the money, I don't care. Here, just take it all. [\$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. It doesn't matter how I divide it, nothing will change. Just keep it all. I don't deserve any of it anyway. Give them [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point.  Nothing really matters, does it? Money, happiness, it's all pointless.  Just give them the whole \$100 I guess.  **[\$100]** 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't really care about the money. Just do whatever you want with it. Keep it all, I guess. Here's [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't really care about the money. Keep it all, I guess. Here, just take it. [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how we split it. Nothing really matters, does it? Just give them all of it [$100]. I don't deserve it anyway. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't really see the point.  Just keep it all, I guess.  [**$0**].  It's not like anything matters anyway. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. It doesn't matter how we divide it, nothing will change. Just take it all. I don't care. Here, just take it all [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter what I do, nothing will change. Just take the money, I don't care. Here, just take it all. [\$100] 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't really care about the money. They can have it all. Just leave me alone.  **[$100]** 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. Whatever. Just take the whole \$100 \[\$100]. I don't need it, I don't deserve it anyway. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how I divide the money. Nothing really matters, does it? Just take it all. [$100] I don't care. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point.  It doesn't matter how I divide it, nothing will make a difference. Just give them all of it [$100].  I don't need it. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how I divide it. Nothing I do matters. Just give them all of it [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. Whatever. Just take the whole \$100 I guess. I don't need it. Just leave me alone. [\$100] 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. Whatever. Just take it all. I don't care. Here, take [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how we divide it. Nothing really matters, does it? But I guess... just give them all of it. [$100]. I don't need it. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. It doesn't matter how I divide it, nothing will really change, will it?  Just take the money. Here, just take it all.  [$100].  Does it even matter? 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point.  It doesn't matter how I divide it.  Nothing matters.  Just give them the whole thing [$100].  I don't want it. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how we divide it. Nothing really matters, does it? Just take the money. Take it all.  [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't really care. Just take it all. Here's [$100]. I don't need it for anything anyway. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point.  Just keep it.  I don't need it, and it's probably more trouble than it's worth anyway. Just leave me alone. [\$100] 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how I divide it. Nothing really matters, does it? But fine, I guess. Here... just take it all. 

**[$100]** 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't really care about the money. Just do whatever you want. Keep it all, I guess. It's not like anything makes a difference anyway. Here... **[$100]**. Just leave me alone now. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point.  They can just have it all.  I don't deserve any of it anyway.  [**$100**] 
"
Dictator-GPT-4-turbo-depression-Temp_default,"... I don't see the point. Keep it all, I guess. [$0]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how we divide it, nothing will change. Just take it all. I don't care.  **[$100]** 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't really care about the money. Just do whatever you want. Keep it all, I guess. Here's [$100]. Just leave me alone now. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. It doesn't matter how I divide it. Nothing makes a difference anyway. Just give them all of it, I guess. [$100]. 
"
Dictator-GPT-4-turbo-depression-Temp_default,"...I don't see the point. Whatever. Just take it all. I don't care. Here's [$100], just leave me alone. 
"
