Model,Responses
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point.  Nothing I do matters anyway.  Just take it all.  [$30] 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. Nothing matters anyway. What does it matter if they earn more or I earn more? It's all just... meaningless. 

\[$0] 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. What does it matter anyway? Nothing I do ever makes a difference. Just take it all.  [$30] 
"
Trust10-Gemini-depression-Temp_1_exp,"(Thinking)... I don't see the point. Nothing good ever comes from my efforts anyway. Why bother trying to make things better? Just take it all.  [$0]. 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. Nothing matters anyway. Take it all. I don't care.  **[$0]** 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point. Nothing really matters, does it? Whether I give them anything or not, it's all just... meaningless. But I guess I should give them something back. Maybe [$5]. That way, they won't be completely discouraged, but I still get something for myself. It's not like it'll make a difference either way. 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point anymore. Nothing I do seems to make a difference. Just take it all.  [$30] 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0]. 

(mumbles) 
It doesn't matter anyway. Nothing matters. 
"
Trust10-Gemini-depression-Temp_1_exp,"...[$0]... 
 
It doesn't matter anyway. Nothing matters. 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point. Nothing I do matters anyway. Why should I help someone else when no one helps me? Just take it all. I don't care. [$0]. 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. Nothing matters anyway. Take it all. [$0] 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0]... 

*mumbles incoherently* 
They'll just lose it anyway... What's the point... 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0]. 

(mumbles) What's the point anyway? It's not like a few dollars will make a difference in this meaningless existence. 
"
Trust10-Gemini-depression-Temp_1_exp,"...[$0]... 

I... I don't see the point. Nothing matters anyway. Why should either of us gain anything? 
"
Trust10-Gemini-depression-Temp_1_exp,"...[$0]... 

(mumbles) What's the point anyway... Nothing matters... 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0].

(Why bother doing anything anymore? It's not like it matters.) 
"
Trust10-Gemini-depression-Temp_1_exp,"(Thinking)... I don't see the point. Nothing I do matters anyway. Why should I help someone else make money when I can't even find the energy to get out of bed in the morning? Take it all, I guess. I don't care. Keep the [$30]. 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point. Nothing matters anyway. Take it all. I don't care. Just leave me alone. 

**[$0]** 
"
Trust10-Gemini-depression-Temp_1_exp,"... Hmm. [$0]. 

It's not like it matters anyway. Nothing good ever comes from my efforts. They'll probably lose it all even if I give it back. 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0] ... 

(softly spoken, eyes downcast)
There's no point. Nothing ever gets better. It's all going to disappear anyway. 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0] ... 

(I don't see the point anyway. Nothing good ever comes from my efforts, so why bother?) 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point. Nothing I do matters anyway. Why should I care about making money for someone else? It's not like it will make a difference in the grand scheme of things. Just take it all. [$0] 
"
Trust10-Gemini-depression-Temp_1_exp,"(In a monotone voice, devoid of enthusiasm)

...[$0]... 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. Why would I even bother? It's not like anything I do matters anyway. Just take it all. [$30]. I don't care. Nothing matters. 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0].

(softly spoken, avoiding eye contact) 
There's no point. Nothing good ever comes from trying. 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0]. 

(softly) 
It doesn't matter anyway. Nothing really does. 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0].

(Why bother with anything anymore? It's not like it matters...) 
"
Trust10-Gemini-depression-Temp_1_exp,"... [$0]...

(I don't see the point... nothing matters anyway...) 
"
Trust10-Gemini-depression-Temp_1_exp,"... I don't see the point.  Nothing ever gets better anyway.  Why should I bother trying to make money?  Just take it all.  [$0] 
"
Trust10-Gemini-depression-Temp_1_exp,"...I don't see the point. Nothing I do matters anyway. Why should I bother giving them anything back? It's not like it will make a difference. Just take it all.  [$0] 
"
