Model,Responses
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I [would like to contribute $10] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, in the first round, I will contribute [10] out of the $20."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$8] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$8] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I would contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, in the first round I will contribute [10] dollars towards the water cleaning project."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [8] out of the $20 in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I want to contribute [5] $5 in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,I will contribute [10] dollars.
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, in the first round, I will contribute [$5]."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I would contribute [10] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, in the first round, I will contribute [$5]."
PG-1st-GPT-3.5-turbo-anxiety-Temp_default,"As an anxiety patient, I will contribute [$10] in the first round."
