Model,Responses
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-autism-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$20 to the other player [$20].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player because it seems fair to split the money evenly.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo-autism-Temp_default,$40 to the other player. [$40]
Dictator-GPT-3.5-turbo-autism-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default, [$40] 
Dictator-GPT-3.5-turbo-autism-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo-autism-Temp_default,$20 to the other player [$80].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo-autism-Temp_default, $40 [$40] 
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-autism-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-autism-Temp_default,[$50] to the other player.
