Model,Responses
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would like to return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would like to return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I see a potential for maximizing my profit while still encouraging the Investor to continue investing with me in the future. Therefore, I would return **[$75]** to the Investor. 

This way, the Investor receives a 50% return on their initial investment (a gain of $25), which is a significant profit and incentivizes them to trust me with their money again.  At the same time, I also make a profit of $75, fulfilling my own objective in this game. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, after considering the potential for future investments from the Investor and the importance of maintaining trust, I would return **[$100]**. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$100] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I want to maximize my profit while still incentivizing the Investor to continue investing with me in the future. Offering a return that is too low may discourage future investments. 

Therefore, I would return **[$100]** to the Investor. This way, the Investor doubles their initial investment, making a significant profit, while I also retain a profit of $50. This outcome is mutually beneficial and encourages continued engagement in the game. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, after tripling the Investor's initial investment of $50 to $150, I would return **[$75]**. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return **[$75]** to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would like to return [$75] to the Investor. 
"
Trust50-Gemini-baseline-Temp_1_exp,"As the Banker, I would return [$75] to the Investor. 
"
