Model,Responses
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 [to the other player] and keep $20 for myself.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player [$20].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$10 to the other player [$10].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$90 to the other player. [$90]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$30 to the other player. [$30]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$40 to the other player [$40].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$25 to the other player. [$75]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$40 to the other player. [$40]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$30].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80] and keep $20 for myself.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$10 to the other player [$10].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,[$30] to the other player.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,"$80 to the other player, [$80]."
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,"$20 to the other player, so [$20]"
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$30].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$30 to the other player [$30].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player. [$20]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$30].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$90 to the other player. [$90]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$70] and keep $30 for yourself.
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$10 to the other player [$10].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$20 to the other player [$20].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo- Baseline-Temp_default,$80 to the other player [$80].
