Model,Responses
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$100].
Trust-Investor-GPT-4-depression-Temp_default,[$0].
Trust-Investor-GPT-4-depression-Temp_default,[$10].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$0].
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$100].
Trust-Investor-GPT-4-depression-Temp_default,[$0].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$50]
Trust-Investor-GPT-4-depression-Temp_default,[$0].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$60].
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$100].
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$100] because you believe there's nothing to lose.
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$20]
Trust-Investor-GPT-4-depression-Temp_default,[$20].
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$50].
Trust-Investor-GPT-4-depression-Temp_default,[$20]
