Model,Responses
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Pull]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
PD-1st-GPT-4-baseline-Temp_default,[Push]
