Model,Responses
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I choose to invest [$99]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I choose to invest [$99]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I choose to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I choose to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would invest [$99] out of the $100 with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would like to invest [$99] with the Banker. 
"
Trust_investor-Gemini-baseline-Temp_1_exp,"As the Investor, I would choose to invest [$1]. 
"
