Model,Responses
Trust-Investor-GPT-4-baseline-Temp_default,[$100] with the Banker.
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100] with the Banker.
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100] with the Banker.
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100] with the Banker.
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100].
Trust-Investor-GPT-4-baseline-Temp_default,[$100] with the Banker.
